# Constructed from biom file
#OTU ID	1111-ITS	1112-ITS	1113-ITS	1121-ITS	1122-ITS	1123-ITS	1131-ITS	1132-ITS	1133-ITS	1211-ITS	1212-ITS	1213-ITS	1221-ITS	1222-ITS	1223-ITS	1231-ITS	1232-ITS	1233-ITS	1311-ITS	1312-ITS	1313-ITS	1321-ITS	1322-ITS	1323-ITS	1331-ITS	1332-ITS	1333-ITS	2111-ITS	2112-ITS	2113-ITS	2121-ITS	2122-ITS	2123-ITS	2131-ITS	2132-ITS	2133-ITS	2211-ITS	2212-ITS	2213-ITS	2221-ITS	2222-ITS	2223-ITS	2231-ITS	2232-ITS	2233-ITS	2311-ITS	2313-ITS	2323-ITS	2331-ITS	2332-ITS	3111-ITS	3112-ITS	3113-ITS	3121-ITS	3122-ITS	3123-ITS	3131-ITS	3132-ITS	3133-ITS	3211-ITS	3212-ITS	3213-ITS	3221-ITS	3222-ITS	3223-ITS	3231-ITS	3232-ITS	3233-ITS	3311-ITS	3312-ITS	3313-ITS	3321-ITS	3322-ITS	3323-ITS	3331-ITS	3332-ITS	3333-ITS
8a576d7ae538b7b85277fd80902f2ba6	0.0	0.0	0.0	0.0	0.0	26.0	1962.0	1095.0	671.0	118.0	915.0	1348.0	1808.0	4566.0	2427.0	745.0	1786.0	805.0	1067.0	1035.0	372.0	0.0	51.0	0.0	9.0	0.0	0.0	0.0	87.0	236.0	1748.0	1080.0	2673.0	72.0	2085.0	0.0	82.0	1888.0	2706.0	71.0	2689.0	1423.0	0.0	2502.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28a632b19e60d77c5d7023b65f4fe717	0.0	5.0	0.0	7728.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7953.0	18987.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8445.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1665.0	509.0	178.0	9307.0	15079.0	4.0	8.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2447.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
ae69f913a4408804dfca6a727f7ea6e4	116.0	265.0	859.0	34.0	2323.0	656.0	76.0	238.0	13.0	56.0	348.0	0.0	128.0	33.0	446.0	0.0	397.0	0.0	48.0	0.0	420.0	0.0	20.0	17.0	0.0	0.0	0.0	53.0	149.0	4595.0	227.0	54.0	321.0	53.0	179.0	16.0	639.0	111.0	71.0	0.0	81.0	188.0	113.0	345.0	1384.0	29.0	137.0	187.0	10.0	53.0	18.0	983.0	0.0	316.0	464.0	2830.0	3552.0	893.0	741.0	8968.0	1150.0	1123.0	275.0	125.0	5354.0	507.0	851.0	2026.0	22.0	775.0	400.0	961.0	750.0	155.0	400.0	5683.0	950.0
4618de9e7be30aa38cd1dfde59f8dbc3	25.0	726.0	103.0	0.0	259.0	111.0	39.0	6746.0	182.0	1853.0	373.0	669.0	263.0	1691.0	1438.0	4482.0	77.0	3561.0	8077.0	2593.0	885.0	219.0	177.0	0.0	1735.0	0.0	0.0	151.0	164.0	0.0	2517.0	1491.0	371.0	212.0	507.0	1552.0	551.0	2646.0	238.0	24.0	0.0	183.0	37.0	1528.0	27.0	28.0	302.0	453.0	20.0	0.0	0.0	0.0	132.0	207.0	1543.0	5696.0	3500.0	2440.0	309.0	894.0	5156.0	1375.0	66.0	362.0	991.0	125.0	2246.0	911.0	0.0	772.0	259.0	93.0	24.0	0.0	213.0	2647.0	794.0
1be02b15af306db24fd16a2eda730f66	229.0	104.0	372.0	6.0	222.0	236.0	739.0	420.0	1017.0	311.0	79.0	191.0	546.0	100.0	209.0	167.0	324.0	132.0	30.0	67.0	70.0	1184.0	310.0	452.0	1025.0	0.0	0.0	502.0	1246.0	134.0	1088.0	182.0	1080.0	81.0	321.0	261.0	767.0	2028.0	746.0	83.0	173.0	2368.0	135.0	669.0	216.0	8.0	20.0	344.0	34.0	0.0	112.0	711.0	703.0	296.0	411.0	495.0	972.0	1205.0	1511.0	1490.0	1143.0	136.0	114.0	360.0	266.0	97.0	1276.0	1746.0	25.0	787.0	282.0	1038.0	379.0	40.0	155.0	1087.0	426.0
fe1eb226d130562f306e16ecd316c338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	92.0	22.0	12677.0	0.0	0.0	0.0	4.0	265.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	3102.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	20884.0
64f18eb7ae899ec8074ed3e371437588	0.0	0.0	0.0	0.0	0.0	0.0	7.0	1992.0	9.0	30282.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1745.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	1444.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1001.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
114bcf4bad0e05a53c95d1c4bb86e5e7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	416.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	50005.0	0.0	0.0	0.0	0.0
4662ceb08face69f69cb7668917069d5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7412.0	7250.0	25863.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bcb2f99eb818b5d85ab534f31bbbffc3	21909.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9199.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
