"","plot_id","first","second","third","fourth","elev","aspect","slope","tpi"
"30",2113,"2","1","1","3",1876,-0.453990499739547,27.35,0.175033569335938
"31",2121,"2","1","2","1",1931,-0.939692620785908,17.1,-1.52587890625e-05
"32",2122,"2","1","2","2",1954,-0.848048096156426,27,-0.0999755859375
"33",2123,"2","1","2","3",1913,-0.999847695156391,30.3,0.224960327148438
"34",2131,"2","1","3","1",1856,-0.5,30.5,-0.512542724609375
"35",2132,"2","1","3","2",1883,-0.374606593415912,26.8,-0.0124359130859375
"36",2133,"2","1","3","3",1860,-0.681998360062499,26.4,0.350006103515625
"37",2211,"2","2","1","1",1976,-1,16.35,0.149993896484375
"38",2212,"2","2","1","2",1970,-0.848048096156426,21.65,0.287445068359375
"39",2213,"2","2","1","3",1951,-0.961261695938319,20.9,0.075042724609375
"40",2221,"2","2","2","1",1950,-0.681998360062498,18.5,-0.224990844726562
"41",2222,"2","2","2","2",1953,-0.92050485345244,12.35,0.100006103515625
"42",2223,"2","2","2","3",1931,-0.978147600733806,23.7,-0.0374908447265625
"43",2231,"2","2","3","1",1922,-0.987688340595138,27.15,0.237518310546875
"44",2232,"2","2","3","2",1915,-0.743144825477394,31.25,0.150009155273438
"45",2233,"2","2","3","3",1895,-1,32.75,4.57763671875e-05
"46",2311,"2","3","1","1",1819,0.939692620785908,39.55,0.0875091552734375
"47",2313,"2","3","1","3",1867,0.809016994374947,34.45,-0.074951171875
"48",2323,"2","3","2","3",1899,0.965925826289068,40.5,1.30006408691406
"49",2331,"2","3","3","1",1946,0.90630778703665,39.75,-0.0374908447265625
"50",2332,"2","3","3","2",1945,0.939692620785908,25.6,0.575027465820312
"51",2333,"2","3","3","3",1971,0.970295726275996,29.1,0.812484741210938
"52",3111,"3","1","1","1",1894,0.559192903470746,28.35,0.587478637695312
"53",3112,"3","1","1","2",1927,0.342020143325668,30.1,0.362442016601562
"54",3113,"3","1","1","3",1919,-1.83697019872103e-16,17.9,0.149948120117188
"55",3121,"3","1","2","1",1962,0.309016994374947,30.8,0.20001220703125
"56",3122,"3","1","2","2",2005,0.5,30.65,0.35003662109375
"57",3123,"3","1","2","3",1992,-1.83697019872103e-16,24.4,0.087493896484375
"58",3131,"3","1","3","1",1921,-0.587785252292473,29.85,0.237533569335938
"59",3132,"3","1","3","2",1970,-0.342020143325669,29.4,-0.212554931640625
"60",3133,"3","1","3","3",1937,-0.224951054343865,29.1,0.124984741210938
"61",3211,"3","2","1","1",2052,-0.866025403784439,24.7,-0.08740234375
"62",3212,"3","2","1","2",2077,-0.642787609686539,11.45,0.274932861328125
"63",3213,"3","2","1","3",2051,-0.529919264233205,25.7,-0.12506103515625
"64",3221,"3","2","2","1",2087,0.939692620785908,30.65,-0.062408447265625
"65",3222,"3","2","2","2",2077,0.882947592858927,29.65,0.03741455078125
"66",3223,"3","2","2","3",2108,0.951056516295154,4.65,0.125091552734375
"67",3231,"3","2","3","1",2059,-0.342020143325669,27.25,0.0499267578125
"68",3232,"3","2","3","2",2107,-0.0174524064372835,18.2,-0.02490234375
"69",3233,"3","2","3","3",2080,-0.342020143325669,22.5,-0.199920654296875
"70",3311,"3","3","1","1",1892,-0.292371704722737,24.2,-0.550003051757812
"71",3312,"3","3","1","2",1955,0.406736643075801,41.95,0.724990844726562
"72",3313,"3","3","1","3",1956,0.46947156278589,32.85,-0.425018310546875
"73",3321,"3","3","2","1",1988,0.342020143325668,25.6,0.262496948242188
"74",3322,"3","3","2","2",2029,0.224951054343865,26.55,-0.175003051757812
"75",3323,"3","3","2","3",2031,0.275637355816999,19.9,-0.637496948242188
"76",3331,"3","3","3","1",1979,-0.5,31.6,-0.337539672851562
"77",3332,"3","3","3","2",2026,-0.587785252292473,13.65,-0.11248779296875
"78",3333,"3","3","3","3",1988,-0.374606593415912,19.05,-0.150009155273438
